Station Name,Org Name,No. of Ports,Usable By,Country ,Postal Code,Customer Category,Customer Subcategory,Station Activation Date,Location 1,Location 2
2021 E 5TH ST / CHAMPION EV #1,Endeavor Real Estate Group,2,All Drivers,United States,78750,Parking,Commercial,04/16/2015 10:52:00 AM,"0024:B100:0002:18C7
Austin, Texas 78750
(30.363133, -97.793604)","6433 Champion Grandview Way
Austin, Texas 78750
(30.363133, -97.793604)"
2021 E 5TH ST / CHAMPION EV #2,Endeavor Real Estate Group,2,All Drivers,United States,78750,Parking,Commercial,04/16/2015 10:56:00 AM,"0024:B100:0002:1F14
Austin, Texas 78750
(30.363198, -97.7937)","6433 Champion Grandview Way
Austin, Texas 78750
(30.363198, -97.7937)"
2021 E 5TH ST / ENDEAVOR STAT1,Endeavor Real Estate Group,2,Tenant Only,United States,78702,Workplace,General,06/02/2014 02:32:00 PM,"0024:B100:0002:0B91
Austin, Texas 78702
(30.258756, -97.720097)","2110 E 4th St
Austin, Texas 78702
(30.258756, -97.720097)"
AISD PAC / AISD PAC #1,Austin Independent School District,2,All Drivers,United States,78723,Education,High School / Other,03/25/2015 02:31:00 PM,"0024:B100:0002:083E
Austin, Texas 78723
(30.305454, -97.702666)","Mueller Blvd
Austin, Texas 78723
(30.305454, -97.702666)"
AISD PAC / AISD PAC #2,Austin Independent School District,2,All Drivers,United States,78723,Education,High School / Other,03/25/2015 01:44:00 PM,"0024:B100:0002:0CBD
Austin, Texas 78723
(30.30538, -97.702537)","1301-1603 E 51st St
Austin, Texas 78723
(30.30538, -97.702537)"
AISD PAC / AISD PAC #3,Austin Independent School District,2,All Drivers,United States,78723,Education,High School / Other,03/25/2015 01:52:00 PM,"0024:B100:0002:0B5E
Austin, Texas 78723
(30.305343, -97.702408)","1301-1603 E 51st St
Austin, Texas 78723
(30.305343, -97.702408)"
AISD PAC / AISD PAC #4,Austin Independent School District,2,All Drivers,United States,78723,Education,High School / Other,03/25/2015 01:57:00 PM,"0024:B100:0002:0B58
Austin, Texas 78723
(30.305269, -97.702269)","1301-1603 E 51st St
Austin, Texas 78723
(30.305269, -97.702269)"
AISD PAC / AISD PAC #5,Austin Independent School District,2,All Drivers,United States,78723,Education,High School / Other,03/25/2015 01:42:00 PM,"0024:B100:0002:0CE1
Austin, Texas 78723
(30.305204, -97.702108)","1301-1603 E 51st St
Austin, Texas 78723
(30.305204, -97.702108)"
AMD GO GREEN / P100 FL4 INNER,AMD ,2,AMD Lone Star,United States,78735,Workplace,High-Tech,10/19/2010 04:13:00 PM,"000D:6F00:009D:9AB9
Austin, Texas 78735
(30.251432, -97.86384)","7171 Southwest Pkwy
Austin, Texas 78735
(30.251432, -97.86384)"
AMD GO GREEN / P100 FL4 OUTER,AMD ,2,AMD Lone Star,United States,78735,Workplace,General,10/19/2010 10:05:00 AM,"000D:6F00:009D:D165
Austin, Texas 78735
(30.251635, -97.863914)","7171 Southwest Pkwy
Austin, Texas 78735
(30.251635, -97.863914)"
