the_geom,OBJECTID,TREE_ID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
POINT (-97.73690456349743 30.27315065776097),1,7,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,27,Poor,Park,Waterloo Neighborhood Park,3116131.02598,10072645.327
POINT (-97.73657691516101 30.27391037893772),2,63,1201 RED RIVER ST,Ulmus americana,American Elm,22,8,Fair,Park,Waterloo Neighborhood Park,3116227.97821,10072923.9685
POINT (-97.73659664504058 30.27335967021008),3,82,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,34,30,Poor,Park,Waterloo Neighborhood Park,3116226.4267,10072723.5907
POINT (-97.73631905671772 30.27381596470103),4,93,1201 RED RIVER ST,Carya illinoinensis,Pecan,30,8,Poor,Park,Waterloo Neighborhood Park,3116310.15587,10072891.5405
POINT (-97.736167256047 30.273598050149715),5,94,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,20,8,Fair,Park,Waterloo Neighborhood Park,3116359.912,10072813.4274
POINT (-97.73605625020771 30.273289940262597),6,102,1201 RED RIVER ST,Ulmus americana,American Elm,24,8,Fair,Park,Waterloo Neighborhood Park,3116397.55989,10072702.2196
POINT (-97.73648844533706 30.273190483629627),7,117,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,30,Fair,Park,Waterloo Neighborhood Park,3116262.00931,10072662.8733
POINT (-97.73648995249287 30.273330626348717),8,119,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,27,8,Poor,Park,Waterloo Neighborhood Park,3116260.34396,10072713.8167
POINT (-97.73682104909133 30.273118785758424),9,125,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,19,18,Poor,Park,Waterloo Neighborhood Park,3116157.65256,10072634.354
POINT (-97.73677567827752 30.27306578316778),10,127,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,33,35,Poor,Park,Waterloo Neighborhood Park,3116172.42091,10072615.417
POINT (-97.7365332977793 30.273028047804207),11,144,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,36,32,Fair,Park,Waterloo Neighborhood Park,3116249.23342,10072603.4826
POINT (-97.73645844916997 30.27290502777493),12,148,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,29,35,Good,Park,Waterloo Neighborhood Park,3116273.89905,10072559.3052
POINT (-97.73614442376994 30.27285182358676),13,175,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,31,35,Fair,Park,Waterloo Neighborhood Park,3116373.45331,10072542.2748
POINT (-97.74530494763748 30.27242725310525),14,185,900 GUADALUPE ST,Carya illinoinensis,Pecan,24,43,Fair,Park,Wooldridge Square,3113486.09295,10072320.5154
POINT (-97.74534397952135 30.27265455430266),16,188,900 GUADALUPE ST,Carya illinoinensis,Pecan,25,42,Fair,Park,Wooldridge Square,3113471.85183,10072402.8735
POINT (-97.74519405231051 30.27257318490524),17,189,900 GUADALUPE ST,Carya illinoinensis,Pecan,33,37,Fair,Park,Wooldridge Square,3113519.85567,10072374.3893
POINT (-97.74565115810847 30.272812270050935),18,194,900 GUADALUPE ST,Carya illinoinensis,Pecan,30,42,Fair,Park,Wooldridge Square,3113373.57546,10072457.9619
POINT (-97.7457701185576 30.272837405009003),19,195,900 GUADALUPE ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Wooldridge Square,3113335.82028,10072466.2273
POINT (-97.74564991305608 30.272201105598562),20,199,900 GUADALUPE ST,Quercus stellata,Post Oak,25,8,Fair,Park,Wooldridge Square,3113379.13844,10072235.757
POINT (-97.74577852861034 30.27246317371583),21,200,900 GUADALUPE ST,Quercus stellata,Post Oak,28,38,Fair,Park,Wooldridge Square,3113336.33176,10072330.0983
POINT (-97.74584015069466 30.27259138285253),22,201,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,19,36,Poor,Park,Wooldridge Square,3113315.79998,10072376.2616
POINT (-97.74590500512392 30.272682391447393),23,202,900 GUADALUPE ST,Quercus stellata,Post Oak,36,8,Fair,Park,Wooldridge Square,3113294.56282,10072408.8754
POINT (-97.74613489360213 30.272219202888632),24,204,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,20,36,Fair,Park,Wooldridge Square,3113225.93008,10072238.7763
POINT (-97.74600664159121 30.27221223696499),25,205,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,26,45,Fair,Park,Wooldridge Square,3113266.46412,10072237.1851
POINT (-97.74584462952438 30.272191639704424),26,206,900 GUADALUPE ST,Carya illinoinensis,Pecan,20,35,Fair,Park,Wooldridge Square,3113317.76782,10072230.8856
POINT (-97.74546978214276 30.272034304704416),27,211,900 GUADALUPE ST,Carya illinoinensis,Pecan,23,45,Poor,Park,Wooldridge Square,3113437.39718,10072176.4323
POINT (-97.74547881567698 30.27217319590558),28,212,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,28,48,Fair,Park,Wooldridge Square,3113433.37127,10072226.8656
POINT (-97.74533196409531 30.27216217482389),29,213,900 GUADALUPE ST,Carya illinoinensis,Pecan,26,36,Fair,Park,Wooldridge Square,3113479.80949,10072223.9368
POINT (-97.73534667732476 30.275588857498274),30,252,1401 TRINITY ST,Carya illinoinensis,Pecan,21,55,Poor,Park,Waterloo Neighborhood Park,3116601.96664,10073543.3141
POINT (-97.73535730223828 30.275490352963928),31,254,1401 TRINITY ST,Carya illinoinensis,Pecan,24,60,Good,Park,Waterloo Neighborhood Park,3116599.45024,10073507.4205
POINT (-97.73533979557408 30.27540461200679),32,257,1401 TRINITY ST,Carya illinoinensis,Pecan,25,50,Good,Park,Waterloo Neighborhood Park,3116605.70318,10073476.3749
POINT (-97.73508746819277 30.27543797189041),33,261,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,23,35,Fair,Park,Waterloo Neighborhood Park,3116685.04915,10073490.3644
POINT (-97.73538811268185 30.2749934057845),35,277,1401 TRINITY ST,Carya illinoinensis,Pecan,19,50,Good,Park,Waterloo Neighborhood Park,3116593.94762,10073326.5081
POINT (-97.73528528968768 30.274830029980276),36,283,1401 TRINITY ST,Ulmus americana,American Elm,21,40,Fair,Park,Waterloo Neighborhood Park,3116627.78417,10073267.8642
POINT (-97.73520745224018 30.27390579969744),37,318,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,20,28,Poor,Park,Waterloo Neighborhood Park,3116660.19815,10072932.3967
POINT (-97.73523805237059 30.273731611924017),38,320,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,19,25,Good,Park,Waterloo Neighborhood Park,3116652.02067,10072868.8381
POINT (-97.73532151874016 30.27354411718063),39,323,1401 TRINITY ST,Carya illinoinensis,Pecan,20,20,Poor,Park,Waterloo Neighborhood Park,3116627.27236,10072800.0515
POINT (-97.73529775551216 30.27351572500963),40,324,1401 TRINITY ST,Carya illinoinensis,Pecan,21,47,Good,Park,Waterloo Neighborhood Park,3116635.01283,10072789.9035
POINT (-97.73517187369039 30.273274907201436),41,327,1401 TRINITY ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Waterloo Neighborhood Park,3116676.78473,10072703.2725
POINT (-97.73521190099368 30.27330763917798),42,328,1401 TRINITY ST,Carya illinoinensis,Pecan,22,47,Poor,Park,Waterloo Neighborhood Park,3116663.87465,10072714.8784
POINT (-97.73514519955108 30.273475113310656),43,330,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,23,35,Fair,Park,Waterloo Neighborhood Park,3116683.50223,10072776.2621
POINT (-97.73511519747912 30.27339103192891),44,331,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,20,35,Good,Park,Waterloo Neighborhood Park,3116693.68463,10072745.9121
POINT (-97.73528311437823 30.273218685443794),45,338,1401 TRINITY ST,Ulmus crassifolia,Cedar Elm,22,40,Good,Park,Waterloo Neighborhood Park,3116642.15619,10072682.0107
POINT (-97.73542953247947 30.273163288679722),46,341,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,38,45,Fair,Park,Waterloo Neighborhood Park,3116596.41907,10072660.7896
POINT (-97.73539736442528 30.273000839184125),47,343,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,37,38,Fair,Park,Waterloo Neighborhood Park,3116607.95055,10072601.9616
POINT (-97.73567220822657 30.273189161797244),48,366,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,22,8,Fair,Park,Waterloo Neighborhood Park,3116519.61411,10072668.408
POINT (-97.73556262825454 30.273619651661527),49,396,1401 TRINITY ST,Carya illinoinensis,Pecan,27,8,Good,Park,Waterloo Neighborhood Park,3116550.54023,10072825.7378
POINT (-97.7359587924823 30.273323072287095),50,409,1401 TRINITY ST,Ulmus americana,American Elm,33,8,Poor,Park,Waterloo Neighborhood Park,3116428.0349,10072714.9844
POINT (-97.73597931713205 30.27335839455108),51,410,1201 RED RIVER ST,Carya illinoinensis,Pecan,23,8,Good,Park,Waterloo Neighborhood Park,3116421.25768,10072727.676
POINT (-97.73610874473212 30.273596558317653),52,412,1201 RED RIVER ST,Carya illinoinensis,Pecan,23,8,Fair,Park,Waterloo Neighborhood Park,3116378.38998,10072813.3162
POINT (-97.73608859616324 30.27381426154092),53,414,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,21,35,Good,Park,Waterloo Neighborhood Park,3116382.90015,10072892.6195
POINT (-97.7361053285124 30.274007624459905),54,416,1201 RED RIVER ST,Carya illinoinensis,Pecan,19,8,Fair,Park,Waterloo Neighborhood Park,3116375.97791,10072962.8011
POINT (-97.73593132852275 30.274295014753456),55,420,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,19,30,Good,Park,Waterloo Neighborhood Park,3116428.44927,10073068.5759
POINT (-97.73578093258347 30.274492589467286),56,442,1201 RED RIVER ST,Ulmus americana,American Elm,20,40,Good,Park,Waterloo Neighborhood Park,3116474.23395,10073141.5206
POINT (-97.73563812447527 30.274396765811005),57,447,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,38,35,Fair,Park,Waterloo Neighborhood Park,3116520.11542,10073107.7326
POINT (-97.73642414053617 30.27400704678886),58,460,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,39,47,Poor,Park,Waterloo Neighborhood Park,3116275.37083,10072960.2418
POINT (-97.73638195530265 30.274113091500716),59,461,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,44,50,Good,Park,Waterloo Neighborhood Park,3116287.78354,10072999.1095
POINT (-97.73732200805816 30.26326655561648),60,565,2000 N IH 35 SB,Carya illinoinensis,Pecan,32,37,Fair,Park,Sir Swante Palm Neighborhood Park,3116083.16813,10069048.4835
POINT (-97.73766665206595 30.263041230206536),61,575,2000 N IH 35 SB,Ulmus americana,American Elm,28,42,Good,Park,Sir Swante Palm Neighborhood Park,3115976.30385,10068964.0185
POINT (-97.7381339508067 30.262891037702808),62,595,600 E 2 ST,Carya illinoinensis,Pecan,25,35,Good,Park,Sir Swante Palm Neighborhood Park,3115830.08924,10068905.968
POINT (-97.73834118488662 30.26281059814542),63,604,600 E 2 ST,Ulmus americana,American Elm,23,35,Good,Park,Sir Swante Palm Neighborhood Park,3115765.36431,10068875.1948
POINT (-97.73827742957604 30.26263492479727),64,607,2000 N IH 35 SB,Carya illinoinensis,Pecan,24,32,Good,Park,Sir Swante Palm Neighborhood Park,3115786.97712,10068811.7911
POINT (-97.73816507780519 30.262637213208375),65,610,2000 N IH 35 SB,Carya illinoinensis,Pecan,19,32,Fair,Park,Sir Swante Palm Neighborhood Park,3115822.41833,10068813.4505
