Contract ID #,Name,Developer/Owner,Unit Type,Development Program,Address,Zip Code,Council District,Contact Phone Number,Contact E-mail,Own/Rent,Total Units,Total Affordable Units,Status,Affordability Period Start Date,Affordability Period Start Year,Affordabilty Period,Affordability Period Expiration Date,Units at 30% MFI,Units at 40% MFI,Units at 50% MFI,Units at 60% MFI,Units at 65% MFI ,Units at 80% MFI,Market Rate Units,City Funding Amount,Approx. % of Funds Leveraged,Location 1,Lat,Long
114,Annointed Acres,UNK,Multifamily,SMART,2604 Rosewood Avenue,78702,1,,,Rent,80,72,In Progress,,UNK,5,,7,0,0,0,0,64,9,N/A,N/A,"2604 Rosewood Avenue(30.2725824326178, -97.7053542171595)",30.27258243,-97.70535422
1,M Station,Foundation Communities,Multifamily,RHDA,2906 E Martin Luther King Jr Boulevard,78722,1,512-474-6767,angie.vokt@foundcom.org,Rent,150,140,Completed,11/16/09,2009,99,11/16/08,28,0,68,36,0,8,10,"$2,000,000 ",869%,"2906 E Martin Luther King Jr Boulevard(30.2820072186666, -97.7084137218687)",30.28200722,-97.70841372
2,Garden Terrace Apartments,Garden Terrace Housing Corporation,Multifamily,RHDA,1015 W William Cannon Drive,78745,2,512-416-8300,tiek.johnson@foundcom.org,Rent,15,15,Completed,10/8/07,2007,30,10/8/37,0,0,15,0,0,0,0,"$500,000 ",60%,"1015 W William Cannon Drive(30.1986408937312, -97.7934265318501)",30.19864089,-97.79342653
3,Lifeworks,Lifeworks,Multifamily,RHDA,3710 S 2nd Street,78704,3,512-735-2400,,Rent,12,12,Completed,5/4/06,2006,20,5/4/26,0,0,12,0,0,0,0,"$300,000 ",101%,"3710 S 2nd Street(30.2298368209301, -97.7710197443868)",30.22983682,-97.77101974
137,Mueller I-C Phase I,Standard Pacific of Texas,Single Family,SMART,4701 Ruiz Street,78723,9,,,Rent,12,3,In Progress,,UNK,5,,0,0,0,0,0,3,9,N/A,N/A,"4701 Ruiz Street(30.3001268606822, -97.7018864468466)",30.30012686,-97.70188645
120,RMMA Section 6,David Weekly Homes,Single Family,SMART,1830 McBee Street,78723,9,,,Own,72,19,In Progress,,UNK,1,,0,0,0,0,0,19,53,N/A,N/A,"1830 McBee Street(30.2982091598687, -97.7041814287569)",30.29820916,-97.70418143
163,Linden Lots,American Youthworks,Single Family,SMART,Undisclosed,78702,3,,,Rent,1,1,In Progress,,UNK,5,,0,0,0,0,0,1,0,N/A,N/A,"Undisclosed(30.2656815688094, -97.705045372373)",30.26568157,-97.705045372373000000000000000000
4,The Enclave,Mary Lee Communities,Multifamily,RHDA,1322 Lamar Square Drive,78704,5,512-443-5777,affordablehousing@maryleefoundation.org,Rent,30,30,Completed,11/21/02,2002,20,11/21/22,0,0,30,0,0,0,0,"$1,009,502 ",0%,"1322 Lamar Square Drive(30.2553062066707, -97.7642238885743)",30.25530621,-97.76422389
5,The Willows,Mary Lee Communities,Multifamily,RHDA,1330 Lamar Square Drive,78704,5,512-443-5777,affordablehousing@maryleefoundation.org,Rent,64,64,Completed,8/31/10,2010,40,8/31/50,32,0,28,0,0,4,0,"$2,250,000 ",99%,"1330 Lamar Square Drive(30.2544562030313, -97.765039314016)",30.2544562,-97.765039314016000000000000000000
112,Green Doors- Dessau Road,Green Doors,Single Family,SMART,10620 Dessau Road,78754,1,,,Rent,60,60,In Progress,,UNK,5,,0,0,60,0,0,0,0,N/A,N/A,"10620 Dessau Road(30.3655060649779, -97.6689148027266)",30.36550606,-97.6689148
113,The Villages on 12th,PeopleTrust,Multifamily,SMART,2712 E 12th Street,78702,1,,,Rent,28,28,Completed,8/29/14,2014,5,8/29/19,0,0,0,0,0,28,0,N/A,N/A,"2712 E 12th Street(30.2752718308133, -97.7114965611795)",30.27527183,-97.71149656
115,St. James Apartments,Burlington Ventures,Multifamily,SMART,5514 Roosevelt Avenue,78756,7,512-476-0111,,Rent,9,2,Completed,2/15/14,2014,5,2/15/19,0,0,0,0,0,2,9,N/A,N/A,"5514 Roosevelt Avenue(30.3269383823952, -97.7329699500947)",30.32693838,-97.73296995
116,Gaston Place,Accessible Housing Austin!,Multifamily,SMART,1920 Gaston Place Drive,78723,1,,,Rent,20,20,In Progress,,UNK,5,,0,0,11,3,0,6,0,N/A,N/A,"1920 Gaston Place Drive(30.3134620247713, -97.6896903736492)",30.31346202,-97.68969037
117,2201 Davis Lane,UNK,Single Family,SMART,2201 Davis Lane,78748,5,,,Rent,1,1,Completed,11/5/13,2013,5,11/5/18,0,0,0,0,0,1,0,N/A,N/A,"2201 Davis Lane(30.1869159754045, -97.8188095121219)",30.18691598,-97.81880951
118,906 E 7th Street,Guadalupe Neighborhood Development Corporation,Multifamily,SMART,906 E 7th Street,78702,1,,,Rent,6,6,In Progress,,UNK,5,,0,0,0,6,0,0,0,N/A,N/A,"906 E 7th Street(30.2665047648655, -97.732626243239)",30.26650476,-97.732626243239000000000000000000
119,RMMA Section 6,Streetman Homes,Single Family,SMART,2445 Robert Browning Street,78723,9,,,Own,95,24,In Progress,,UNK,1,,0,0,0,0,0,24,71,N/A,N/A,"2445 Robert Browning Street(30.2984080453473, -97.6978793556727)",30.29840805,-97.69787936
121,1123 Walton Lane,UNK,Single Family,SMART,1123 Walton Lane,78721,3,,,Rent,8,6,In Progress,,UNK,5,,0,0,0,0,0,6,2,N/A,N/A,"1123 Walton Lane(30.2592635506736, -97.6873130471413)",30.25926355,-97.68731305
122,The Point at Ben White,Ben White Development LP,Multifamily,SMART,6934 E Ben White Boulevard,78741,3,,,Rent,252,252,In Progress,,UNK,5,,0,0,0,0,0,252,0,N/A,N/A,"6934 E Ben White Boulevard(30.2163180282958, -97.7035830097557)",30.21631803,-97.70358301
123,Villages at Ben White,Ben White Senior Development LP,Multifamily,SMART,7016 E Ben White Boulevard,78741,3,,,Rent,184,184,In Progress,,UNK,5,,0,0,0,184,0,0,0,N/A,N/A,"7016 E Ben White Boulevard(30.2158612511363, -97.701173845317)",30.21586125,-97.701173845317000000000000000000
124,Parmer Place Apartments,PEDCOR,Multifamily,SMART,1500 Parmer Lane,78727,7,,,Rent,332,332,In Progress,,UNK,5,,0,0,0,332,0,0,0,N/A,N/A,"1500 Parmer Lane(30.3904719905596, -97.6517323670586)",30.39047199,-97.65173237
125,William Cannon Apartments,PEDCOR,Multifamily,SMART,2112 William Cannon Drive,78744,2,,,Rent,252,252,In Progress,,UNK,5,,0,0,0,252,0,0,0,N/A,N/A,"2112 William Cannon Drive(30.1878667909073, -97.7613178962303)",30.18786679,-97.7613179
126,The Paddock at Norwood,LDG Norwood,Multifamily,SMART,1044 Norwood Park Boulevard,78753,4,512-535-5748,,Rent,228,228,Completed,11/7/14,2014,5,11/7/19,0,0,0,228,0,0,0,N/A,N/A,"1044 Norwood Park Boulevard(30.3365467031889, -97.6915523283137)",30.3365467,-97.69155233
127,1616 Canterbury Street,UNK,Single Family,SMART, 1616 Canterbury Street,78702,3,,,Rent,1,1,Completed,7/31/13,2013,5,7/31/14,0,0,0,0,0,1,0,N/A,N/A,"1616 Canterbury Street(30.25637841541, -97.7279525862536)",30.256378415410000000000000000000,-97.72795259
130,Skyway Studios,Foundation Communities,Multifamily,SMART, 2800 S Lamar Boulevard,78704,5,,,Rent,109,109,In Progress,,UNK,5,,22,22,65,0,0,0,0,N/A,N/A,"2800 S Lamar Boulevard(30.2445394385907, -97.7818758697109)",30.24453944,-97.78187587
131,Waller Creek Apartments on 51st,51st Living LTD,Multifamily,SMART,105 W 51st Street,78751,9,512-300-2200,,Rent,139,56,Completed,6/9/14,2014,5,6/9/19,0,0,0,0,0,56,83,N/A,N/A,"105 W 51st Street(30.3158682723902, -97.7240913489087)",30.31586827,-97.72409135
132,Thornton Lane Apartments,PSW Real Estate,Multifamily,SMART, 2505 Thornton Road,78704,5,214-299-8700,,Rent,104,60,In Progress,,,,,0,0,0,60,0,0,44,N/A,N/A,"2505 Thornton Road(30.2430961658273, -97.7727723283092)",30.24309617,-97.77277233
133,East 12th Street Homes,Butler Family Interests LLP,Single Family,SMART,1000 E 12th Street,78702,1,,,Own,15,2,In Progress,,UNK,1,,0,0,0,0,0,2,13,N/A,N/A,"1000 E 12th Street(30.2723751326232, -97.7300391781182)",30.27237513,-97.73003918
135,Merritt Lake Line Station,DDC Merritt Lake Line Station,Multifamily,SMART,1350 Sonny Drive,78641,,,,Rent,210,106,In Progress,,UNK,5,,0,0,0,106,0,0,104,N/A,N/A,"1350 Sonny Drive(30.4780632193571, -97.8512182033325)",30.47806322,-97.8512182
136,Rutledge Spur Apartments,Foundation Communities,Multifamily,SMART,13425 FM 620,78717,6,,,Rent,150,150,In Progress,,UNK,5,,0,0,0,150,0,0,0,N/A,N/A,"13425 FM 620(30.4710985417122, -97.7849519489774)",30.47109854,-97.78495195
6,Arbor Terrace,FC One Housing Corporation,Multifamily,RHDA,2501 S IH-35,78741,3,512-610-0817,julie.benzinger@foundcom.org,Rent,120,120,Completed,6/24/11,2011,99,6/24/10,0,0,120,0,0,0,0,"$2,000,000 ",0%,"2501 S IH-35(30.2314602729335, -97.7413954956676)",30.23146027,"-35(30.231460272"
7,Sierra Vista,Foundation Communities,Multifamily,RHDA,4320 S Congress Avenue,78745,3,512-448-4884,adriana.vallejo@foundcom.org,Rent,238,143,Completed,2/4/10,2010,99,2/4/09,24,0,130,0,0,84,0,"$3,000,000 ",329%,"4320 S Congress Avenue(30.2190337978803, -97.7671845964581)",30.2190338,-97.7671846
8,Crossroads Apartments,Crossroads Mutual Housing Corporation,Multifamily,RHDA,8801 McCann Drive,78757,7,512-452-5987,lydia.arbizu@foundcom.com,Rent,14,14,Completed,6/17/09,2009,99,6/17/08,14,0,0,0,0,0,0,"$900,000 ",33%,"8801 McCann Drive(30.3727304927457, -97.7294480083748)",30.37273049,-97.72944801
9,904 Lydia Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,904 Lydia Street,78702,1,512-479-6275,,Rent,1,1,Completed,4/3/09,2009,40,4/3/49,1,0,0,0,0,0,0,"$60,000 ",143%,"904 Lydia Street(30.267405274892, -97.7285517036128)",30.267405274892000000000000000000,-97.7285517
10,1220 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Duplex,RHDA,1220 Paul Theresa Saldana Street,78702,3,512-479-6275,,Rent,2,2,Completed,1/25/13,2013,99,1/25/12,0,0,2,0,0,0,0,"$600,000 ",54%,"1220 Paul Theresa Saldana Street(30.2698895050362, -97.7029586796543)",30.26988951,-97.70295868
10,1216 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Duplex,RHDA,1216 Paul Theresa Saldana Street,78702,3,512-479-6275,,Rent,2,2,Completed,1/25/13,2013,99,1/25/12,0,0,2,0,0,0,0,N/A,N/A,"1216 Paul Theresa Saldana Street(30.2697955871782, -97.7030101896883)",30.26979559,-97.70301019
10,1212 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Duplex,RHDA,1212 Paul Theresa Saldana Street,78702,3,512-479-6275,,Rent,2,2,Completed,1/25/13,2013,99,1/25/12,0,0,2,0,0,0,0,N/A,N/A,"1212 Paul Theresa Saldana Street(30.2696977138216, -97.7030517292344)",30.26969771,-97.70305173
10,1208 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Duplex,RHDA,1208 Paul Theresa Saldana Street,78702,3,512-479-6275,,Rent,2,2,Completed,1/25/13,2013,99,1/25/12,0,0,2,0,0,0,0,N/A,N/A,"1208 Paul Theresa Saldana Street(30.2696011502029, -97.703096110502)",30.26960115,-97.703096110502000000000000000000
11,303 San Saba Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,303 San Saba Street,78702,3,512-479-6275,,Rent,2,2,Completed,5/5/05,2005,20,5/5/25,0,0,0,2,0,0,0,"$395,000 ",95%,"303 San Saba Street(30.2558854868315, -97.7144087756145)",30.25588549,-97.71440878
11,1002 Wheeless Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1002 Wheeless Street,78702,1,512-479-6275,,Rent,1,1,Completed,1/29/07,2007,20,1/29/27,0,0,0,1,0,0,0,N/A,N/A,"1002 Wheeless Street(30.2679718599611, -97.7277596502184)",30.26797186,-97.72775965
11,809 San Marcos Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,809 San Marcos Street,78702,1,512-479-6275,,Rent,1,1,Completed,5/5/05,2005,20,5/5/25,0,0,0,1,0,0,0,N/A,N/A,"809 San Marcos Street(30.2672160595881, -97.731151025874)",30.26721606,-97.731151025874000000000000000000
11,2320 Santa Rita Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,2320 Santa Rita Street,78702,3,512-479-6275,,Rent,1,1,Completed,5/5/05,2005,20,5/5/25,0,0,0,1,0,0,0,N/A,N/A,"2320 Santa Rita Street(30.2570698735729, -97.7172654651854)",30.25706987,-97.71726547
11,907 Spence Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,907 Spence Street,78702,3,512-479-6275,,Rent,1,1,Completed,5/5/05,2005,20,5/5/25,0,0,0,1,0,0,0,N/A,N/A,"907 Spence Street(30.2586854019468, -97.7358045754509)",30.2586854,-97.73580458
11,1009 E 10th Street,Guadalupe Neighborhood Development Corporation,Single Family,RHDA,1009 E 10th Street,78702,1,512-479-6275,,Rent,1,1,Completed,5/5/05,2005,20,5/5/25,0,0,0,1,0,0,0,N/A,N/A,"1009 E 10th Street(30.2684283282867, -97.7305781128068)",30.26842833,-97.73057811
12,Garden Terrace Apartments,Garden Terrace Housing Corporation,Multifamily,RHDA,1015 W William Cannon Drive,78745,2,512-416-8300,tiek.johnson@foundcom.org,Rent,85,85,Completed,5/21/03,2003,30,5/21/33,0,0,85,0,0,0,0,"$1,775,750 ",152%,"1015 W William Cannon Drive(30.1986408937312, -97.7934265318501)",30.19864089,-97.79342653
13,Southwest Trails Apartments,SWA Mutual Housing Corporation,Multifamily,RHDA,8405 Old Bee Caves Road,78735,8,512-301-2442,yahaira.barrios@foundcom.org,Rent,160,160,Completed,12/21/00,2000,20,12/21/20,0,0,81,79,0,0,0,"$1,000,000 ",1284%,"8405 Old Bee Caves Road(30.2512241070173, -97.8872430326643)",30.25122411,-97.88724303
14,The Ivy,ESCT Austin Housing III,Multifamily,RHDA,3204 Manchaca Road,78704,5,512-879-1210,,Rent,8,8,Completed,2/15/13,2013,99,2/15/12,0,0,8,0,0,0,0,"$494,740 ",150%,"3204 Manchaca Road(30.2402757402636, -97.7826687601118)",30.24027574,-97.78266876
15,Wildflower Terrace,DMA Wildflower Terrace,Multifamily,RHDA,3801 Berkman Drive,78723,9,512-843-3801,,Rent,201,171,Completed,8/31/10,2010,99,8/31/09,26,0,60,85,0,0,30,"$2,000,000 ",1138%,"3801 Berkman Drive(30.2909045002364, -97.6984403482229)",30.2909045,-97.69844035
16,702 Plumpton Drive,Community Partnerships for the Homeless,Single Family,RHDA,702 Plumpton Drive,78745,2,512-469-9130,,Rent,3,3,Completed,4/30/02,2002,20,4/30/22,0,0,3,0,0,0,0,"$71,900 ",157%,"702 Plumpton Drive(30.1950468158668, -97.7908219142665)",30.19504682,-97.79082191
16,1109 Spearson Lane,Community Partnerships for the Homeless,Single Family,RHDA,1109 Spearson Lane,78745,2,512-469-9130,,Rent,3,3,Completed,4/30/02,2002,20,4/30/22,0,0,3,0,0,0,0,"$71,900 ",157%,"1109 Spearson Lane(30.2013845727143, -97.7942021779392)",30.20138457,-97.79420218
16,5406 Village Trail,Community Partnerships for the Homeless,Single Family,RHDA,5406 Village Trail,78744,2,512-469-9130,,Rent,3,3,Completed,4/30/02,2002,20,4/30/22,0,0,3,0,0,0,0,"$71,900 ",157%,"5406 Village Trail(30.1947866738427, -97.7459847828035)",30.19478667,-97.74598478
17,2505 Village Trail Circle,Community Partnerships for the Homeless,Single Family,RHDA,2505 Village Trail Circle,78744,2,512-469-9130,,Rent,4,4,Completed,8/31/06,2006,20,8/31/26,3,0,0,0,0,0,0,"$123,163 ",346%,"2505 Village Trail Circle(30.1947866738427, -97.7459847828035)",30.19478667,-97.74598478
17,2407 S 4th Street,Community Partnerships for the Homeless,Single Family,RHDA,2407 S 4th Street,78704,2,512-469-9130,,Rent,4,4,Completed,8/31/06,2006,20,8/31/26,3,0,0,0,0,0,0,N/A,N/A,"2407 S 4th Street(30.24261574799, -97.7632413782669)",30.242615747990000000000000000000,-97.76324138
17,7605 Elderberry Drive,Community Partnerships for the Homeless,Single Family,RHDA,7605 Elderberry Drive,78745,3,512-469-9130,,Rent,4,4,Completed,8/31/06,2006,20,8/31/26,3,0,0,0,0,0,0,"$123,163 ",346%,"7605 Elderberry Drive(30.1856931860589, -97.7894439858316)",30.18569319,-97.78944399
18,2014 Covered Wagon Pass,Community Partnerships for the Homeless,Single Family,RHDA,2014 Covered Wagon Pass,78744,2,512-469-9130,,Rent,3,3,Completed,5/2/07,2007,20,5/2/27,0,0,3,0,0,0,0,"$100,000 ",0%,"2014 Covered Wagon Pass(30.1932223225175, -97.7587020302195)",30.19322232,-97.75870203
18,5611 Teri Road,Community Partnerships for the Homeless,Single Family,RHDA,5611 Teri Road,78744,2,512-469-9130,,Rent,3,3,Completed,5/2/07,2007,20,5/2/27,0,0,3,0,0,0,0,N/A,N/A,"5611 Teri Road(30.1927525514336, -97.7338198423955)",30.19275255,-97.73381984
19,904 Neal Street,Community Partnerships for the Homeless,Duplex,RHDA,904 Neal Street,78702,1,512-974-3100,,Rent,2,2,Completed,1/31/08,2008,40,1/31/48,0,0,2,0,0,0,0,"$500,000 ",41%,"904 Neal Street(30.2684697354704, -97.7100588157448)",30.26846974,-97.71005882
19,908 Neal Street,Community Partnerships for the Homeless,Duplex,RHDA,908 Neal Street,78702,1,512-974-3100,,Rent,2,2,Completed,1/31/08,2008,40,1/31/48,0,0,2,0,0,0,0,N/A,N/A,"908 Neal Street(30.2686070180355, -97.710236739434)",30.26860702,-97.710236739434000000000000000000
19,912 Neal Street,Community Partnerships for the Homeless,Single Family,RHDA,912 Neal Street,78702,1,512-974-3100,,Rent,1,1,Completed,1/31/08,2008,40,1/31/48,0,0,1,0,0,0,0,N/A,N/A,"912 Neal Street(30.2687163287403, -97.7103568683844)",30.26871633,-97.71035687
19,916 Neal Street,Community Partnerships for the Homeless,Single Family,RHDA,916 Neal Street,78702,1,512-974-3100,,Rent,1,1,Completed,1/31/08,2008,40,1/31/48,0,0,1,0,0,0,0,N/A,N/A,"916 Neal Street(30.2688504901787, -97.7104857964919)",30.26885049,-97.7104858
20,Pecan Springs Commons,Community Partnerships for the Homeless,Multifamily,RHDA,5800 Sweeney Circle,78723,1,512-469-9130,,Rent,46,46,Completed,12/29/09,2009,99,12/29/08,11,0,35,0,0,0,0,"$2,000,000 ",75%,"5800 Sweeney Circle(30.3049271405972, -97.679951265009)",30.30492714,-97.679951265009000000000000000000
21,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5807 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,2/18/09,2009,99,2/18/08,0,0,4,0,0,0,0,"$508,842 ",40%,"5807 Sweeney Circle(30.3051500320123, -97.679026690365)",30.30515003,-97.679026690365000000000000000000
21,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5809 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,2/18/09,2009,99,2/18/08,0,0,4,0,0,0,0,N/A,N/A,"5809 Sweeney Circle(30.3053600903234, -97.6790763842193)",30.30536009,-97.67907638
