24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE
"10th St East, 1000 blk - West of Waller St",,,101,115,216,09/27/2005 12:00:00 AM
"10th St East, 1200 blk - West of Navasota St",,,103,55,158,09/27/2005 12:00:00 AM
"10th St East, 600 blk - East of Red River St",,,n/a,2240,2240,02/26/2009 12:00:00 AM
"10th St East, 700 blk - West of IH35 WSR                     1-way WB",,,n/a,1599,1599,07/06/2005 12:00:00 AM
"10th St West, 1000 blk - West of N. Lamar Blvd",,,373,288,661,01/24/2001 12:00:00 AM
"10th St West, 1300 blk - West of Lorrain St",,,383,314,697,06/05/2007 12:00:00 AM
"10th St West, 600 blk - West of Nueces St",,,1591,431,2022,01/11/2001 12:00:00 AM
"10th St West, 800 blk - West of West Ave",,,2163,925,3088,01/30/2003 12:00:00 AM
"10th St West, 900 blk - East of N. Lamar Blvd",,,2254,940,3194,01/30/2003 12:00:00 AM
"11th St East, 1100 blk - East of Waller St",,,4185,3788,7973,06/26/2006 12:00:00 AM
"11th St East, 600 blk - East of Red River St",,,6544,5387,11931,03/24/2009 12:00:00 AM
"11th St West, 200 blk - East of Lavaca St",,,3568,5416,8984,07/19/2011 12:00:00 AM
"12th St East, 1300 blk - East of San Bernard",,,3644,4813,8457,06/23/2014 12:00:00 AM
"12th St East, 1300 blk - West of Angelina St",,,3701,4395,8096,10/27/2009 12:00:00 AM
"12th St East, 1700 blk - East of Leona St",,,3393,4153,7546,10/27/2009 12:00:00 AM
"12th St East, 400 blk - West of Red River St",,,1932,2084,4016,02/28/2005 12:00:00 AM
"12th St East, 4500 blk - West of  Springdale Rd",,,2609,2709,5318,03/22/2005 12:00:00 AM
"12th St East, 600 blk - East of Red River St",,,3658,3074,6732,03/04/2009 12:00:00 AM
"12th St West, 1000 blk - West of N. Lamar Blvd",,,3335,2705,6040,02/26/2009 12:00:00 AM
"12th St West, 1000 blk - West of N. Lamar Blvd",,,4094,2929,7023,01/24/2001 12:00:00 AM
"12th St West, 1300 blk - East of Lorrain St",,,2917,4755,7672,04/28/2004 12:00:00 AM
"12th St West, 1300 blk - East of Lorrain St",,,2000,2181,4181,09/10/2001 12:00:00 AM
"12th St West, 1400 Blk - West of Shelly Ave",,,1881,2071,3952,09/10/2001 12:00:00 AM
"13th St East, 3100 Blk - West of Airport Blvd",,,171,321,492,09/13/2007 12:00:00 AM
"13th St West, 200 Blk - East of Lavaca St",,,n/a,1082,1082,06/08/2006 12:00:00 AM
"13th St West, 300 Blk - West of Lavaca St",,,574,n/a,574,06/08/2006 12:00:00 AM
"14 1/2 St East, 3100 blk - West of Airport Blvd",,,218,332,550,09/13/2007 12:00:00 AM
"14th St East, 2000 Blk - West of Alamo St",,,201,175,376,02/27/2007 12:00:00 AM
"15th St East, 400 blk - West of Red River St",,,15032,4309,19341,02/28/2005 12:00:00 AM
"15th St East, 600 blk - East of Red River St",,,14443,13807,28250,01/31/2011 12:00:00 AM
"15th St East, 600 blk - East of Red River St",,,15585,14070,29655,04/08/2009 12:00:00 AM
"15th St East, 700 blk - At IH 35",,,9199,5717,14916,11/12/2008 12:00:00 AM
"15th St West, 1100 blk - West of Lamar Blvd Bridge",,,15208,13365,28573,01/26/2011 12:00:00 AM
"15th St West, 1100 blk - West of Lamar Blvd North",,,16158,13765,29923,03/25/2009 12:00:00 AM
"16th St East, 3100 blk - West of Airport Blvd",,,175,170,345,09/13/2007 12:00:00 AM
"16th Street East, 3000 blk - West of McKinney",,,93,122,215,09/24/2012 12:00:00 AM
"18th St East, 200 blk - East of Brazos St                        1-way WB",,,n/a,639,639,07/06/2005 12:00:00 AM
"18th St East, 200 blk - East of Brazos St                        1-way WB",,,n/a,688,688,10/04/2004 12:00:00 AM
"1st Street South, 100 blk - North of Riverside Dr",11516,15316,,,26832,06/21/2005 12:00:00 AM
"1st Street South, 100 blk - North of Riverside Dr",9989,12953,,,22942,02/06/2002 12:00:00 AM
"1st Street South, 100 blk - North of Riverside Dr",8092,10391,,,18483,07/10/2001 12:00:00 AM
"1st Street South, 100 blk - On the Bridge",15588,16987,,,32575,10/20/2010 12:00:00 AM
"1st Street South, 100 blk - On the Bridge",15181,17848,,,33029,04/08/2009 12:00:00 AM
"1st Street South, 1000 blk - North of Copeland St",12250,12400,,,24650,02/25/2009 12:00:00 AM
"1st Street South, 11100 blk - North of FM 1626",1085,1180,,,2265,09/10/2001 12:00:00 AM
"1st Street South, 1300 blk - North of W. Elizabeth St",10099,9033,,,19132,10/27/2004 12:00:00 AM
"1st Street South, 2000 blk - South of W. Mary St",9717,9721,,,19438,01/06/2005 12:00:00 AM
"1st Street South, 2200 blk - South of W. Live Oak St",12040,12022,,,24062,02/25/2009 12:00:00 AM
"1st Street South, 3500 blk - South of W. Alpine Rd",11807,11016,,,22823,06/21/2005 12:00:00 AM
"1st Street South, 3700 blk - South of South Center St",15084,14111,,,29195,02/25/2009 12:00:00 AM
"1st Street South, 5200 blk - North of Ramble Ln",10646,10061,,,20707,07/21/2003 12:00:00 AM
"1st Street South, 5500 blk - North of W. Stassey Ln",11341,10702,,,22043,01/22/2003 12:00:00 AM
"1st Street South, 9100 blk - South of Slaughter Ln",4176,3203,,,7379,11/13/2006 12:00:00 AM
"1st Street South, 9100 blk - South of Slaughter Ln",1572,1682,,,3254,09/10/2001 12:00:00 AM
"22nd St East, 900 blk - East of San Gabriel St",,,1060,1033,2093,12/10/2003 12:00:00 AM
"23rd St West, 600 blk - West of Nueces St",,,354,1036,1390,11/18/2003 12:00:00 AM
"24th St West, 1500 blk - East of Windsor Rd",,,9161,9391,18552,03/25/2009 12:00:00 AM
"24th St West, 600 blk - East of Rio Grande St",,,7886,6457,14343,11/15/2007 12:00:00 AM
"25th St West, 1200 blk - East of Longview St",,,1139,931,2070,02/07/2007 12:00:00 AM
"25th St West, 1300 blk - West of Longview St",,,1083,1086,2169,02/01/2007 12:00:00 AM
"25th St West, 500 blk - East of Seton Ave",,,1005,1505,2510,02/09/2006 12:00:00 AM
"25th St West, 600 blk - West of Seton Ave",,,922,1097,2019,02/09/2006 12:00:00 AM
"25th St West, 700 blk - East of Pearl St",,,929,1115,2044,05/09/2007 12:00:00 AM
"26th St West, 1000 blk - West of San Gabriel St",,,678,1202,1880,09/20/2004 12:00:00 AM
"26th St West, 600 blk - West of Seton Ave",,,922,1097,2019,02/09/2006 12:00:00 AM
"26th St West, 900 blk - East of San Gabriel St",,,1991,1466,3457,09/20/2004 12:00:00 AM
"29th St West, 1100 blk - East of Wooldridge Dr",,,4222,3966,8188,05/07/2007 12:00:00 AM
"29th St West, 1200 blk - East of Wooldridge Dr",,,4089,4301,8390,02/26/2009 12:00:00 AM
"29th St West, 1500 blk - West of Harris Blvd",,,1581,2468,4049,05/05/2009 12:00:00 AM
"29th St West, 1500 blk - West of Harris Blvd",,,2120,2615,4735,05/07/2007 12:00:00 AM
"29th St West, 300 blk - East of Hemphill Park                  1-way EB",,,1244,n/a,1244,03/26/2003 12:00:00 AM
